"","HOUR_I_R","ALCHL_I","ALIGN_I","STRATUM_R","WRK_ZONE","WKDY_I_R","INT_HWY","LGTCON_I_R","MANCOL_I_R","PED_ACC_R","RELJCT_I_R","REL_RWY_R","PROFIL_I_R","SPD_LIM","SUR_COND","TRAF_CON_R","TRAF_WAY","VEH_INVL","WEATHER_R","INJURY"
"3061",0,1,1,1,0,1,0,3,2,0,1,1,0,35,2,0,1,2,2,0
"36502",0,2,1,0,0,1,0,1,2,0,1,1,0,35,1,0,1,2,1,1
"2640",0,2,1,1,0,0,0,3,0,0,0,0,0,30,2,0,2,1,2,1
"13530",0,2,1,0,0,1,0,1,2,0,1,1,0,45,3,2,1,2,1,0
"24785",0,2,1,0,0,1,0,1,2,0,1,1,0,45,1,1,2,2,1,1
"574",1,2,1,1,0,0,0,3,2,0,1,1,1,45,1,2,1,2,1,1
"10625",0,2,1,0,0,1,0,2,2,0,0,1,0,55,1,0,2,2,1,0
"33771",0,2,1,0,0,0,0,1,2,0,1,1,0,40,1,1,1,2,1,0
"25950",1,2,1,1,0,1,0,1,2,0,1,1,0,35,1,1,2,3,1,1
"16152",1,2,1,0,0,1,0,1,0,0,1,0,0,45,2,0,2,1,2,1
"24965",0,2,1,0,0,0,0,1,0,1,1,0,0,45,1,0,2,1,1,1
"22169",0,2,1,1,0,1,0,1,2,0,1,1,1,45,1,2,1,2,1,1
"35695",1,2,1,0,0,0,0,1,2,0,1,1,0,40,1,0,1,2,1,1
"17305",0,2,1,1,0,1,0,1,2,0,1,1,0,30,2,2,1,2,2,1
"40265",0,2,1,0,0,1,0,1,2,0,1,1,0,55,1,0,1,2,1,0
"30696",1,2,1,1,0,1,0,1,2,0,1,1,0,45,1,0,2,3,1,0
"29608",1,2,1,0,0,1,0,1,2,0,1,1,0,35,1,0,2,2,1,1
"42053",1,2,1,1,0,1,0,1,0,0,1,0,0,55,1,0,1,1,1,0
"8889",0,1,1,0,0,1,0,2,0,0,0,0,0,25,2,0,1,1,2,0
"39303",1,2,2,0,0,1,0,1,2,0,1,1,0,25,1,0,1,2,1,0
"23744",0,2,1,0,0,0,0,1,2,0,1,1,0,30,1,2,3,2,1,1
"20142",0,2,1,1,0,1,0,1,2,0,1,1,1,55,1,0,2,2,1,1
"31024",0,2,1,0,0,1,1,1,2,0,0,1,0,70,1,0,2,2,1,0
"15296",0,2,1,1,0,0,0,1,2,0,1,1,0,30,2,1,2,2,2,0
"6286",1,2,1,0,0,1,0,3,2,0,1,1,0,30,1,1,1,2,1,0
"22489",0,2,1,1,0,1,0,1,2,0,1,1,1,25,1,0,1,2,1,0
"8122",0,2,1,1,0,0,0,2,0,0,0,0,0,55,4,0,1,1,1,1
"28315",1,2,1,1,0,1,0,1,2,0,1,1,0,45,1,1,2,2,1,1
"8688",0,2,2,0,1,0,1,2,2,0,0,1,0,45,2,0,2,2,2,0
"21114",1,2,1,1,0,1,0,1,2,0,1,1,1,40,1,1,1,2,1,1
"33833",1,2,1,1,0,1,0,1,2,0,1,1,0,45,1,0,1,2,1,1
"30984",0,2,1,0,0,1,0,1,2,0,0,1,0,70,1,0,2,2,1,1
"25625",0,2,1,0,0,1,1,1,2,0,0,1,0,65,1,0,2,2,1,0
"34056",0,2,1,0,0,1,0,1,2,0,0,1,0,30,1,2,1,4,1,1
"21759",1,2,1,0,0,1,0,1,2,0,0,1,1,55,1,0,1,2,1,0
"3839",0,1,1,0,0,1,0,3,2,0,0,1,1,45,1,0,1,2,1,0
"33057",0,2,1,1,0,1,0,1,2,0,1,1,0,45,1,0,1,2,1,1
"8844",0,2,1,1,0,1,1,2,0,0,0,1,0,65,2,0,2,1,2,0
"41874",1,2,2,1,0,1,0,1,0,0,0,0,0,55,1,0,1,1,1,1
"13891",1,2,1,1,0,1,0,1,2,0,1,1,1,35,2,1,2,2,1,1
"33374",0,2,1,1,0,0,0,1,2,0,1,1,0,30,1,1,1,2,1,1
"28883",1,2,1,0,0,1,0,1,0,1,1,1,0,30,1,1,2,1,1,1
"22785",0,2,1,1,0,1,0,1,2,0,1,1,1,55,1,0,1,3,1,0
"8983",0,2,1,1,0,0,0,2,2,0,1,1,0,40,2,0,1,2,1,0
"17539",1,2,1,0,0,1,0,1,2,0,1,1,0,35,2,0,1,2,1,0
"25088",0,2,1,0,0,1,0,1,2,0,0,1,0,65,1,0,2,2,1,1
"41494",0,2,1,1,0,1,0,1,0,0,0,0,0,45,1,0,1,1,1,1
"33186",1,2,1,0,0,1,0,1,2,0,1,1,0,45,1,1,1,2,1,0
"5026",0,2,1,1,0,1,0,3,2,0,1,1,0,25,1,1,2,2,1,0
"16670",0,2,1,0,0,0,0,1,2,0,1,1,0,35,2,1,1,2,2,0
"35956",1,2,1,1,0,1,0,1,0,0,0,1,0,35,1,0,1,2,1,0
"19821",0,2,1,0,0,0,1,1,2,0,0,1,1,55,1,0,2,2,1,0
"38681",1,2,2,1,0,1,0,1,2,0,0,1,0,55,1,0,1,2,1,1
"8525",1,2,1,0,0,1,0,2,0,1,1,1,1,30,2,0,1,1,2,1
"17924",1,2,1,1,0,1,0,1,0,0,0,0,0,30,2,0,1,1,2,0
"41599",0,2,1,0,0,1,0,1,0,0,0,0,0,45,1,0,1,1,1,0
"10653",0,2,1,1,0,1,1,2,2,0,0,1,0,55,1,0,2,3,1,1
"39235",1,2,1,0,0,1,0,1,2,0,0,1,0,25,1,0,1,2,1,0
"13855",1,1,2,1,0,0,1,1,0,0,0,0,1,70,2,0,2,1,2,1
"20450",0,2,1,1,0,1,0,1,0,0,1,0,1,30,1,2,2,1,1,1
"17129",1,2,2,1,0,1,0,1,2,0,0,1,0,35,2,0,1,2,2,0
"37532",1,2,1,1,0,1,0,1,2,0,1,1,0,30,1,2,1,2,1,1
"33076",0,2,1,0,0,1,0,1,0,1,1,0,0,40,1,0,1,1,1,1
"1602",0,2,1,1,0,1,0,3,0,0,0,0,0,55,1,2,1,1,1,1
"39237",1,2,1,1,0,1,0,1,2,0,1,1,0,25,1,0,1,2,1,0
"36037",0,2,1,0,0,1,0,1,2,0,1,1,0,40,1,0,1,2,1,0
"19994",1,2,1,0,1,0,1,1,0,0,0,0,1,75,1,2,2,1,1,1
"20060",0,2,1,1,0,1,0,1,2,0,1,1,1,30,1,0,2,2,1,0
"40523",1,2,1,0,0,1,0,1,0,1,0,1,0,25,1,0,1,1,1,1
"1950",1,2,1,1,0,0,1,3,0,0,0,0,1,70,2,0,2,1,2,1
"19374",1,2,1,0,0,1,0,1,2,0,0,1,1,45,1,0,2,2,1,0
"13095",1,2,1,0,0,1,1,1,2,0,0,1,0,70,4,0,2,2,2,0
"37846",0,2,2,1,0,1,0,1,2,0,0,1,0,35,1,0,1,2,1,1
"9561",1,2,1,0,0,1,1,2,0,0,0,0,1,55,1,0,2,1,1,0
"37894",1,2,1,1,0,1,0,1,2,0,1,1,0,35,1,2,1,2,1,1
"32407",0,2,1,1,0,1,0,1,1,0,1,1,0,35,1,0,1,2,1,1
"26902",0,2,1,1,0,1,1,1,2,0,0,1,0,70,1,0,2,2,1,1
"16476",0,2,1,0,0,1,0,1,2,0,0,1,0,45,2,0,1,2,2,1
"30421",0,2,1,1,0,0,0,1,2,0,1,1,0,40,1,1,2,3,1,1
"36949",0,2,1,1,0,1,0,1,2,0,1,1,0,15,1,2,1,2,1,0
"8979",1,2,1,1,0,1,0,2,2,0,1,1,0,35,2,0,1,3,1,1
"17808",0,2,1,1,0,1,0,1,0,0,1,0,0,25,2,2,1,1,1,0
"17409",1,2,1,1,0,0,0,1,2,0,1,1,0,40,2,0,1,2,2,0
"38173",1,2,1,0,0,1,0,1,2,0,1,1,0,35,1,0,1,2,1,0
"14897",1,2,1,1,0,1,0,1,0,0,0,0,1,65,2,0,1,1,2,1
"25983",1,2,1,1,0,1,0,1,2,0,1,1,0,35,1,1,2,2,1,0
"21310",1,2,1,0,0,1,0,1,2,0,1,1,1,35,1,0,1,2,1,1
"23199",1,2,1,0,0,0,0,1,0,0,1,0,1,40,1,1,1,1,1,0
"23178",1,2,1,0,0,1,0,1,0,1,1,0,1,40,1,0,1,1,1,1
"27107",1,2,1,0,0,1,0,1,2,0,0,1,0,40,1,0,2,2,1,0
"24985",0,2,1,1,0,0,1,1,0,0,0,0,0,55,1,0,2,1,1,0
"15058",0,2,1,1,0,1,0,1,2,0,1,1,0,35,2,1,2,2,1,0
"5459",0,2,2,1,0,0,0,3,0,0,1,0,0,65,1,0,2,1,1,0
"10753",0,1,1,1,0,0,1,2,0,0,0,0,0,70,1,0,2,1,1,0
"34713",0,2,1,0,0,1,0,1,2,0,1,1,0,30,1,1,1,3,1,1
"24105",1,2,1,0,0,1,1,1,2,0,1,1,0,55,1,0,3,2,1,1
"27274",1,2,1,0,0,1,1,1,2,0,1,1,0,65,1,0,2,2,1,1
"12605",0,1,2,1,0,1,0,2,0,0,0,0,0,55,1,0,1,1,1,0
"19146",1,2,1,1,0,1,1,1,2,0,0,1,1,65,1,0,2,4,1,1
"38271",1,2,1,1,1,1,0,1,2,0,1,1,0,40,1,2,1,2,1,0
"40874",1,2,1,1,0,1,0,1,0,0,1,0,0,25,1,2,1,1,1,0
"11198",0,2,1,0,0,1,1,2,0,0,0,0,0,75,1,0,2,1,1,1
"13467",1,1,1,0,0,0,0,1,0,0,1,0,0,40,3,0,2,2,2,0
"21125",0,2,1,1,0,0,0,1,2,0,1,1,1,40,1,2,1,2,1,1
"854",1,2,1,0,0,1,1,3,2,0,0,1,0,60,1,0,2,3,1,1
"15978",0,2,1,1,0,1,0,1,2,0,0,1,0,45,9,0,2,2,1,0
"41818",1,2,2,0,0,1,0,1,0,0,0,0,0,55,1,0,1,1,1,1
"13001",0,2,1,1,0,0,0,1,0,0,0,0,1,55,4,2,1,1,1,1
"14922",0,2,1,1,0,1,0,1,2,0,1,1,0,30,2,1,3,2,1,0
"7435",0,1,1,0,0,0,0,3,0,1,0,1,0,25,1,0,1,1,1,1
"24128",0,2,1,0,0,0,0,1,0,0,0,0,0,25,1,0,3,1,1,0
"18714",0,2,1,1,0,1,0,1,2,0,1,1,1,30,1,0,3,2,1,0
"33284",1,2,2,0,0,0,0,1,0,1,1,1,0,45,1,0,1,1,1,1
"2004",0,2,1,0,0,1,0,3,2,0,1,1,1,45,2,1,2,2,2,0
"25904",0,2,1,0,0,1,0,1,2,0,1,1,0,35,1,1,2,2,1,1
"3655",1,2,1,0,0,1,0,3,2,0,0,1,1,65,1,0,2,2,1,1
"37563",1,2,1,1,0,1,0,1,2,0,1,1,0,30,1,2,1,2,1,1
"11027",1,2,1,0,0,1,0,2,0,0,0,0,0,60,1,0,2,1,1,0
"30386",0,2,1,0,0,0,0,1,2,0,1,1,0,35,1,1,2,2,1,0
"22399",1,2,2,1,0,0,0,1,1,0,1,1,1,35,1,0,1,2,1,0
"22576",0,2,2,0,0,0,0,1,2,0,1,1,1,35,1,0,1,2,1,0
"2849",0,2,1,0,0,1,0,3,2,0,1,1,0,30,2,1,1,2,1,1
"20482",0,2,1,1,0,0,0,1,0,0,0,0,1,45,1,0,2,1,1,1
"27858",0,1,1,1,0,0,0,1,2,0,1,1,0,55,1,1,2,3,1,1
"9229",0,2,2,1,0,0,0,2,0,0,0,0,0,55,2,0,1,1,2,0
"24998",0,2,1,0,0,1,1,1,0,0,0,1,0,65,1,0,2,2,1,0
"39491",0,2,1,1,0,1,0,1,2,0,1,1,0,35,1,0,1,2,1,1
"35249",0,2,1,1,0,1,0,1,2,0,1,1,0,45,1,0,1,2,1,1
"33085",0,2,1,0,0,1,0,1,2,0,0,1,0,30,1,0,1,2,1,1
"33387",0,2,1,1,0,1,0,1,2,0,1,1,0,30,1,2,1,2,1,0
"34464",1,2,1,0,0,1,0,1,0,1,1,1,0,30,1,0,1,1,1,1
"14612",0,2,1,1,0,0,0,1,2,0,0,1,1,45,2,0,1,2,1,1
"3131",0,1,1,0,0,0,0,3,0,1,0,1,0,25,2,0,1,1,2,1
"34032",0,2,1,0,0,1,0,1,1,0,1,1,0,40,1,2,1,2,1,0
"9350",0,2,1,1,0,1,1,2,2,0,1,1,1,55,1,0,3,2,1,0
"4342",0,2,2,1,0,1,0,3,0,0,1,0,0,55,1,0,3,1,1,1
"21041",1,2,1,0,0,1,0,1,2,0,1,1,1,35,1,1,1,2,2,0
"22972",0,2,2,0,0,1,0,1,0,0,0,0,1,30,1,2,1,1,1,1
"18780",0,2,2,0,0,1,0,1,2,0,1,1,1,35,1,1,3,2,1,1
"3694",0,2,1,1,0,1,0,3,0,0,1,0,1,65,1,0,2,1,1,1
"23452",1,2,2,1,0,1,0,1,0,0,0,0,1,55,1,0,1,1,1,1
"20604",0,2,2,1,0,1,0,1,0,0,0,0,1,65,1,0,2,1,1,0
"16456",1,2,1,0,0,0,0,1,2,0,1,1,0,35,2,2,1,2,1,1
"34675",1,2,1,1,0,1,0,1,2,0,1,1,0,30,1,1,1,2,1,1
"32047",1,2,1,1,0,1,0,1,2,0,1,1,0,30,1,2,1,2,1,1
"39246",1,2,1,0,0,1,0,1,2,0,1,1,0,25,1,0,1,2,1,0
"10860",1,2,1,1,0,1,0,2,2,0,0,1,0,45,1,0,2,2,1,0
"268",1,2,1,0,0,1,0,3,2,0,0,1,0,40,2,0,2,2,2,0
"27401",0,2,1,0,0,1,0,1,2,0,1,1,0,35,1,2,2,2,1,1
"12657",0,1,2,1,0,1,0,2,0,0,0,0,0,55,1,0,1,1,1,0
"33172",1,2,1,1,0,1,0,1,2,0,1,1,0,45,1,2,1,2,1,1
"41194",1,2,1,0,0,1,0,1,0,1,1,1,0,35,1,1,1,1,1,1
"10309",0,2,1,1,0,1,0,2,2,0,1,1,0,50,1,1,3,2,1,0
"772",1,2,1,1,0,1,0,3,2,0,1,1,0,40,1,1,2,2,1,0
"6431",0,2,1,1,0,1,0,3,2,0,1,1,0,45,1,2,1,2,1,1
"25722",0,2,1,0,0,1,0,1,2,0,1,1,0,45,1,0,2,2,1,1
"40031",1,2,1,0,0,0,0,1,2,0,1,1,0,45,1,2,1,2,1,0
"4007",0,2,1,0,0,0,0,3,0,0,0,0,1,20,1,0,1,1,1,0
"17973",1,2,1,0,0,1,0,1,0,0,1,0,0,40,2,0,1,1,2,0
"32525",0,2,1,1,0,1,0,1,2,0,1,1,0,35,1,0,1,2,1,0
"12864",0,1,1,1,0,1,0,2,0,0,0,1,0,65,1,0,1,1,1,0
"32737",1,2,2,1,0,0,0,1,0,0,0,0,0,25,1,0,1,1,1,0
"14967",0,2,1,0,0,1,0,1,2,0,1,1,0,25,2,2,3,2,2,0
"6694",1,2,1,0,0,1,0,3,2,0,1,1,0,40,1,0,1,2,1,1
"20009",0,2,1,0,0,1,0,1,2,0,0,1,1,45,1,0,2,2,1,0
"36429",0,2,1,0,0,1,0,1,2,0,1,1,0,25,1,0,1,2,1,0
"12937",1,2,1,0,0,1,0,1,2,0,1,1,1,35,4,1,1,2,2,1
"24643",1,2,1,1,0,1,0,1,2,0,1,1,0,45,1,0,2,2,1,0
"21625",1,2,1,1,1,1,0,1,0,0,0,0,1,35,1,0,1,1,1,1
"16544",1,2,1,0,0,1,0,1,2,0,1,1,0,30,2,2,1,2,2,0
"15638",0,2,1,1,0,1,0,1,2,0,0,1,0,55,2,0,2,2,1,1
"4823",1,2,1,1,0,1,0,3,2,0,0,1,0,35,1,0,2,3,1,0
"32655",0,2,1,0,0,0,0,1,0,1,1,1,0,25,1,0,1,1,1,1
"29075",0,2,1,1,0,1,1,1,0,0,1,1,0,55,1,0,2,2,1,0
"40327",1,2,1,0,0,1,0,1,2,0,0,1,0,55,1,2,1,2,1,0
"25535",1,2,1,0,0,1,1,1,2,0,0,1,0,60,1,0,2,2,1,0
"29011",1,2,1,1,0,0,1,1,0,0,0,0,0,55,1,0,2,1,1,1
"1800",1,2,1,1,0,1,0,3,2,0,1,1,0,35,3,1,2,2,2,1
"38007",0,1,1,1,0,1,0,1,2,0,1,1,0,35,1,1,1,2,1,0
"10094",1,2,2,1,0,0,0,2,0,0,0,0,1,50,1,2,1,1,1,0
"5005",1,2,1,0,0,1,0,3,2,0,0,1,0,60,1,0,2,2,1,1
"18564",1,2,1,1,0,0,0,1,0,0,0,0,1,35,1,0,1,1,1,1
"21361",1,2,1,1,0,0,0,1,2,0,1,1,1,35,1,0,1,2,1,1
"5889",0,1,1,1,0,1,0,3,2,0,1,1,0,35,1,2,2,2,1,1
"35768",0,2,1,1,0,0,0,1,2,0,0,1,0,45,1,0,1,3,1,1
"38501",0,2,1,0,0,1,0,1,2,0,1,1,0,45,1,0,1,2,1,0
"25753",1,2,1,0,0,1,1,1,2,0,0,1,0,55,1,0,2,2,1,1
"37673",0,2,1,0,0,1,0,1,2,0,1,1,0,30,1,0,1,2,1,0
"37436",0,2,1,0,0,1,0,1,2,0,1,1,0,25,1,0,1,2,1,0
"32094",1,2,1,0,0,1,0,1,2,0,1,1,0,30,1,2,1,2,1,0
"10341",1,2,2,0,0,1,0,2,0,0,1,0,0,70,1,0,3,1,1,1
"35464",0,2,1,1,0,1,0,1,2,0,0,1,0,30,1,0,1,2,1,0
"10570",0,2,1,0,0,1,1,2,0,0,0,1,0,70,1,0,2,1,1,0
"10291",0,1,1,0,1,1,0,2,0,1,0,1,0,65,1,2,3,1,1,1
"34652",0,2,1,0,0,0,0,1,2,0,1,1,0,25,1,0,1,2,1,0
"28768",0,1,1,0,0,1,1,1,2,0,0,1,0,60,1,0,2,2,1,0
"35220",1,2,1,1,0,1,0,1,2,0,1,1,0,45,1,1,1,2,1,1
"14980",0,2,1,0,0,1,1,1,2,0,1,1,0,70,2,2,3,2,1,0
"35476",1,2,1,1,0,1,0,1,2,0,0,1,0,35,1,0,1,2,1,1
"33283",0,2,1,0,0,1,0,1,0,0,0,0,0,40,1,0,1,1,1,0
"32944",0,2,1,1,0,1,0,1,2,0,1,1,0,40,1,0,1,2,1,0
"29647",1,2,1,0,0,1,0,1,2,0,1,1,0,35,1,0,2,2,1,0
"3530",0,2,1,0,0,0,0,3,2,0,1,1,1,40,1,1,2,2,1,0
"30270",1,2,1,1,0,1,0,1,2,0,1,1,0,35,1,0,2,2,1,1
"24021",1,2,2,0,0,1,0,1,2,0,1,1,0,35,1,1,3,2,1,1
"6827",1,2,1,0,0,1,0,3,0,1,0,1,0,35,1,0,1,1,1,1
"27515",0,2,1,0,0,1,0,1,2,0,1,1,0,40,1,2,2,2,1,1
"720",1,2,1,1,0,1,0,3,0,0,0,0,1,65,1,0,1,1,1,1
"34131",0,2,1,1,0,1,0,1,2,0,0,1,0,35,1,2,1,2,1,1
"602",1,2,1,1,0,1,0,3,2,0,1,1,1,45,1,0,1,2,1,0
"12486",1,1,2,1,0,0,0,2,0,0,0,0,0,55,1,0,1,1,1,1
"29837",1,2,1,1,0,1,0,1,2,0,1,1,0,45,1,2,2,2,1,1
"18109",1,2,2,0,0,1,1,1,2,0,1,1,1,45,1,0,3,2,1,0
"13114",0,2,1,0,0,0,1,1,2,0,1,1,0,65,4,0,2,2,2,1
"16330",1,2,1,0,0,1,0,1,2,0,0,1,0,35,2,0,1,3,2,1
"26827",0,2,1,1,0,1,1,1,2,0,0,1,0,65,1,0,2,2,1,1
"20950",1,2,1,0,0,1,0,1,0,0,1,1,1,35,1,1,1,1,1,1
"18502",0,2,1,0,0,1,0,1,2,0,1,1,1,35,1,1,1,2,1,0
"13514",0,2,1,1,0,1,0,1,0,0,0,0,0,25,3,2,1,1,1,0
"36815",0,2,1,0,0,1,0,1,2,0,0,1,0,55,1,0,1,2,1,1
"9947",0,2,1,1,0,1,0,2,0,0,1,0,1,35,1,0,1,1,1,0
"24755",1,2,1,0,0,1,0,1,2,0,0,1,0,35,1,0,2,3,1,1
"1383",1,2,1,1,0,1,0,3,2,0,1,1,0,25,1,0,1,2,1,0
"17206",0,2,1,0,1,1,0,1,2,0,1,1,0,35,2,2,1,2,1,0
"5671",1,2,1,0,0,1,0,3,2,0,1,1,0,40,1,1,2,2,1,0
"21564",0,2,1,0,0,1,0,1,2,0,1,1,1,45,1,1,1,3,1,1
"8771",0,1,1,0,0,1,1,2,2,0,0,1,0,65,2,0,2,2,2,0
"28693",1,2,1,0,0,1,1,1,2,0,0,1,0,55,1,0,2,2,1,0
"13340",1,2,2,0,0,0,1,1,2,0,0,1,1,70,3,0,2,3,2,0
"33862",0,2,1,1,0,1,0,1,2,0,1,1,0,45,1,2,1,2,1,1
"37706",1,2,1,0,0,0,0,1,2,0,0,1,0,30,1,0,1,2,1,0
"11590",0,2,1,1,0,1,0,2,2,0,1,1,0,30,1,0,1,2,1,1
"35440",0,2,1,0,0,1,0,1,2,0,1,1,0,30,1,1,1,2,1,1
"21020",0,2,1,1,0,1,0,1,2,0,1,1,1,40,1,0,1,2,1,0
"12479",0,2,1,1,0,1,0,2,0,0,0,0,0,55,1,0,1,1,1,1
"2858",1,2,1,1,0,0,0,3,2,0,1,1,0,25,2,1,1,2,2,1
"26385",1,2,1,1,0,1,0,1,2,0,1,1,0,35,1,2,2,3,1,0
"41455",1,2,1,0,0,1,0,1,0,0,0,0,0,40,1,0,1,1,1,0
"34618",0,2,1,0,0,1,1,1,2,0,0,1,0,55,1,0,1,2,1,0
"1201",1,2,1,1,0,1,0,3,2,0,0,1,0,45,1,0,1,4,1,0
